userId,emotionId,id,createdAt,reason
1,16,13,2022-09-29 17:36:35.104,"Чувак присів біля мене в каштані і почав метушитись. Думав що я поганий бо п’ю воду і нічого не купую, а сиджу працюю тут"
1,30,15,2022-09-29 18:29:23.467,"Боюсь реджекту, боюсь покликати дівчинку попити джину з пончиками, покурити травку. Уявляю себе слабким через те що ""прошу"" і проявляю ініціативу, через те що можуть відмовити і тоді я буду присоромленим"
1,28,28,2022-09-30 16:38:02.286,"Якщо вдруге піднімусь та запитаю, чи є хтось без пари і потім скажуть що ні і я буду присоромлений що ніхто не хоче з мною грати"
